size ,k, min, max, average
1, 0, 3, 3, 2 
2, 0, 5, 7, 5 
2, 1, 5, 7, 5 
3, 0, 7, 12, 8 
3, 1, 7, 12, 9 
3, 2, 7, 12, 8 
4, 0, 9, 18, 12 
4, 1, 9, 18, 12 
4, 2, 9, 18, 12 
4, 3, 9, 18, 11 
5, 0, 11, 25, 14 
5, 1, 11, 25, 16 
5, 2, 11, 25, 16 
5, 3, 11, 25, 16 
5, 4, 11, 22, 14 
6, 0, 13, 28, 17 
6, 1, 13, 30, 19 
6, 2, 13, 33, 20 
6, 3, 13, 33, 20 
6, 4, 13, 33, 20 
6, 5, 13, 28, 17 
7, 0, 15, 31, 20 
7, 1, 15, 35, 23 
7, 2, 15, 42, 24 
7, 3, 15, 42, 24 
7, 4, 15, 42, 23 
7, 5, 15, 39, 22 
7, 6, 15, 35, 20 
8, 0, 17, 45, 23 
8, 1, 17, 40, 26 
8, 2, 17, 46, 28 
8, 3, 17, 48, 30 
8, 4, 17, 47, 28 
8, 5, 17, 49, 27 
8, 6, 17, 44, 24 
8, 7, 17, 39, 22 
9, 0, 19, 42, 26 
9, 1, 19, 58, 28 
9, 2, 19, 54, 32 
9, 3, 19, 51, 33 
9, 4, 19, 53, 33 
9, 5, 19, 55, 33 
9, 6, 19, 50, 31 
9, 7, 19, 53, 28 
9, 8, 19, 42, 24 
10, 0, 21, 48, 27 
10, 1, 21, 54, 32 
10, 2, 21, 64, 36 
10, 3, 21, 61, 36 
10, 4, 21, 70, 38 
10, 5, 21, 63, 37 
10, 6, 21, 61, 37 
10, 7, 21, 75, 37 
10, 8, 21, 59, 31 
10, 9, 21, 52, 30 
11, 0, 23, 49, 32 
11, 1, 23, 61, 36 
11, 2, 23, 65, 38 
11, 3, 23, 68, 39 
11, 4, 23, 74, 40 
11, 5, 23, 63, 40 
11, 6, 23, 66, 38 
11, 7, 23, 65, 37 
11, 8, 23, 69, 37 
11, 9, 23, 68, 35 
11, 10, 23, 54, 32 
12, 0, 25, 54, 35 
12, 1, 25, 63, 39 
12, 2, 25, 60, 38 
12, 3, 25, 72, 44 
12, 4, 25, 74, 43 
12, 5, 25, 79, 44 
12, 6, 25, 68, 45 
12, 7, 25, 80, 44 
12, 8, 25, 80, 42 
12, 9, 25, 65, 41 
12, 10, 25, 68, 37 
12, 11, 25, 60, 37 
13, 0, 27, 85, 39 
13, 1, 27, 77, 43 
13, 2, 27, 71, 43 
13, 3, 27, 76, 48 
13, 4, 27, 85, 49 
13, 5, 27, 84, 48 
13, 6, 27, 77, 50 
13, 7, 27, 85, 49 
13, 8, 27, 85, 47 
13, 9, 27, 77, 47 
13, 10, 27, 75, 46 
13, 11, 27, 91, 40 
13, 12, 27, 71, 37 
14, 0, 29, 69, 42 
14, 1, 29, 90, 48 
14, 2, 29, 87, 49 
14, 3, 29, 96, 51 
14, 4, 29, 87, 51 
14, 5, 29, 104, 55 
14, 6, 29, 84, 56 
14, 7, 29, 89, 56 
14, 8, 29, 87, 54 
14, 9, 29, 91, 48 
14, 10, 29, 89, 48 
14, 11, 29, 74, 46 
14, 12, 29, 81, 43 
14, 13, 29, 76, 40 
15, 0, 31, 79, 44 
15, 1, 31, 95, 49 
15, 2, 31, 89, 50 
15, 3, 31, 83, 51 
15, 4, 31, 87, 50 
15, 5, 31, 88, 50 
15, 6, 31, 102, 55 
15, 7, 31, 92, 56 
15, 8, 31, 83, 57 
15, 9, 31, 117, 56 
15, 10, 31, 95, 56 
15, 11, 31, 92, 52 
15, 12, 31, 82, 49 
15, 13, 31, 86, 48 
15, 14, 31, 68, 45 
16, 0, 33, 81, 48 
16, 1, 33, 94, 52 
16, 2, 33, 83, 54 
16, 3, 33, 100, 58 
16, 4, 33, 102, 60 
16, 5, 33, 88, 57 
16, 6, 33, 102, 55 
16, 7, 33, 107, 61 
16, 8, 33, 95, 56 
16, 9, 33, 94, 60 
16, 10, 33, 101, 60 
16, 11, 33, 101, 59 
16, 12, 33, 90, 57 
16, 13, 33, 91, 53 
16, 14, 33, 80, 51 
16, 15, 33, 84, 47 
17, 0, 35, 98, 49 
17, 1, 35, 98, 52 
17, 2, 35, 98, 59 
17, 3, 35, 108, 62 
17, 4, 35, 98, 60 
17, 5, 35, 111, 68 
17, 6, 35, 102, 66 
17, 7, 35, 109, 65 
17, 8, 35, 105, 67 
17, 9, 35, 127, 65 
17, 10, 35, 115, 67 
17, 11, 35, 108, 64 
17, 12, 35, 108, 63 
17, 13, 35, 103, 63 
17, 14, 35, 109, 60 
17, 15, 35, 87, 56 
17, 16, 35, 88, 51 
18, 0, 37, 99, 55 
18, 1, 37, 91, 57 
18, 2, 37, 101, 59 
18, 3, 37, 104, 62 
18, 4, 37, 112, 66 
18, 5, 37, 108, 65 
18, 6, 37, 120, 64 
18, 7, 37, 110, 65 
18, 8, 37, 125, 68 
18, 9, 37, 107, 67 
18, 10, 37, 130, 67 
18, 11, 37, 112, 67 
18, 12, 37, 108, 65 
18, 13, 37, 116, 64 
18, 14, 37, 98, 62 
18, 15, 37, 109, 62 
18, 16, 37, 141, 59 
18, 17, 37, 99, 52 
19, 0, 39, 100, 55 
19, 1, 39, 93, 62 
19, 2, 39, 122, 65 
19, 3, 39, 118, 66 
19, 4, 39, 109, 68 
19, 5, 39, 112, 69 
19, 6, 39, 112, 70 
19, 7, 39, 125, 73 
19, 8, 39, 132, 70 
19, 9, 39, 128, 71 
19, 10, 39, 110, 68 
19, 11, 39, 131, 69 
19, 12, 39, 122, 71 
19, 13, 39, 119, 68 
19, 14, 39, 108, 68 
19, 15, 39, 118, 65 
19, 16, 39, 105, 64 
19, 17, 39, 99, 60 
19, 18, 39, 92, 54 
20, 0, 41, 107, 58 
20, 1, 41, 105, 64 
20, 2, 41, 111, 64 
20, 3, 41, 122, 70 
20, 4, 41, 138, 74 
20, 5, 41, 111, 69 
20, 6, 41, 123, 75 
20, 7, 41, 129, 75 
20, 8, 41, 136, 76 
20, 9, 41, 133, 73 
20, 10, 41, 129, 72 
20, 11, 41, 140, 75 
20, 12, 41, 132, 73 
20, 13, 41, 107, 71 
20, 14, 41, 119, 70 
20, 15, 41, 123, 70 
20, 16, 41, 105, 68 
20, 17, 41, 112, 64 
20, 18, 41, 109, 64 
20, 19, 41, 103, 60 
21, 0, 43, 107, 63 
21, 1, 43, 113, 63 
21, 2, 43, 114, 68 
21, 3, 43, 134, 68 
21, 4, 43, 126, 71 
21, 5, 43, 127, 73 
21, 6, 43, 126, 78 
21, 7, 43, 128, 78 
21, 8, 43, 120, 77 
21, 9, 43, 136, 82 
21, 10, 43, 131, 82 
21, 11, 43, 142, 81 
21, 12, 43, 143, 81 
21, 13, 43, 129, 79 
21, 14, 43, 127, 78 
21, 15, 43, 149, 79 
21, 16, 43, 122, 76 
21, 17, 43, 121, 75 
21, 18, 43, 121, 72 
21, 19, 43, 122, 69 
21, 20, 43, 98, 63 
22, 0, 45, 96, 65 
22, 1, 45, 148, 70 
22, 2, 45, 138, 74 
22, 3, 45, 128, 74 
22, 4, 45, 126, 79 
22, 5, 45, 134, 83 
22, 6, 45, 147, 83 
22, 7, 45, 153, 84 
22, 8, 45, 162, 88 
22, 9, 45, 126, 85 
22, 10, 45, 143, 87 
22, 11, 45, 147, 83 
22, 12, 45, 135, 83 
22, 13, 45, 146, 81 
22, 14, 45, 138, 84 
22, 15, 45, 133, 82 
22, 16, 45, 146, 81 
22, 17, 45, 122, 79 
22, 18, 45, 128, 70 
22, 19, 45, 131, 71 
22, 20, 45, 127, 68 
22, 21, 45, 110, 61 
23, 0, 47, 131, 66 
23, 1, 47, 130, 72 
23, 2, 47, 136, 72 
23, 3, 47, 154, 76 
23, 4, 47, 136, 80 
23, 5, 47, 146, 84 
23, 6, 47, 129, 84 
23, 7, 47, 139, 87 
23, 8, 47, 154, 86 
23, 9, 47, 142, 89 
23, 10, 47, 159, 94 
23, 11, 47, 230, 90 
23, 12, 47, 163, 91 
23, 13, 47, 144, 88 
23, 14, 47, 144, 88 
23, 15, 47, 151, 86 
23, 16, 47, 145, 86 
23, 17, 47, 146, 87 
23, 18, 47, 149, 83 
23, 19, 47, 127, 83 
23, 20, 47, 140, 77 
23, 21, 50, 119, 75 
23, 22, 47, 133, 69 
24, 0, 49, 119, 70 
24, 1, 49, 121, 75 
24, 2, 49, 128, 81 
24, 3, 49, 135, 85 
24, 4, 49, 136, 86 
24, 5, 49, 161, 88 
24, 6, 49, 155, 89 
24, 7, 49, 174, 92 
24, 8, 49, 177, 89 
24, 9, 49, 156, 94 
24, 10, 49, 133, 91 
24, 11, 49, 154, 90 
24, 12, 49, 146, 90 
24, 13, 49, 154, 88 
24, 14, 49, 163, 88 
24, 15, 49, 169, 94 
24, 16, 49, 162, 91 
24, 17, 49, 151, 90 
24, 18, 49, 132, 86 
24, 19, 49, 133, 83 
24, 20, 49, 134, 84 
24, 21, 49, 130, 79 
24, 22, 49, 123, 73 
24, 23, 49, 131, 71 
25, 0, 51, 126, 75 
25, 1, 51, 126, 79 
25, 2, 51, 146, 85 
25, 3, 51, 139, 87 
25, 4, 51, 137, 87 
25, 5, 51, 158, 94 
25, 6, 51, 134, 93 
25, 7, 51, 160, 96 
25, 8, 51, 158, 93 
25, 9, 51, 156, 99 
25, 10, 51, 160, 103 
25, 11, 51, 163, 101 
25, 12, 51, 169, 103 
25, 13, 51, 201, 100 
25, 14, 51, 170, 99 
25, 15, 51, 195, 99 
25, 16, 51, 176, 101 
25, 17, 51, 158, 94 
25, 18, 51, 180, 96 
25, 19, 51, 145, 88 
25, 20, 51, 169, 85 
25, 21, 51, 131, 81 
25, 22, 51, 135, 77 
25, 23, 51, 132, 76 
25, 24, 51, 122, 71 
26, 0, 53, 137, 78 
26, 1, 53, 129, 82 
26, 2, 59, 148, 89 
26, 3, 53, 150, 87 
26, 4, 53, 152, 92 
26, 5, 53, 200, 101 
26, 6, 53, 155, 99 
26, 7, 53, 169, 97 
26, 8, 53, 182, 101 
26, 9, 53, 176, 102 
26, 10, 68, 159, 105 
26, 11, 53, 181, 103 
26, 12, 53, 192, 105 
26, 13, 53, 161, 101 
26, 14, 53, 181, 104 
26, 15, 53, 172, 106 
26, 16, 53, 164, 99 
26, 17, 53, 168, 96 
26, 18, 53, 168, 101 
26, 19, 53, 184, 102 
26, 20, 53, 177, 95 
26, 21, 53, 178, 96 
26, 22, 53, 149, 89 
26, 23, 53, 153, 87 
26, 24, 53, 150, 80 
